id,en_word,type,definition,classification,source
i60256,tiered seat,noun,seating that is arranged in sloping tiers so that spectators in the back can see over the heads of those in front,Common,LLM (ministral-3:14b)
i60259,tightrope,noun,tightly stretched rope or wire on which acrobats perform high above the ground,Common,LLM (ministral-3:14b)
i60260,tights,noun,skintight knit hose covering the body from the waist to the feet worn by acrobats and dancers and as stockings by women and girls,Common,LLM (ministral-3:14b)
i60261,tile,noun,a flat thin rectangular slab (as of fired clay or rubber or linoleum) used to cover surfaces,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60263,tile cutter,noun,a cutter (tool for cutting) for floor tiles,Common,LLM (ministral-3:14b)
i60264,tile roof,noun,a roof made of fired clay tiles,Common,LLM (ministral-3:14b)
i60265,tiller,noun,lever used to turn the rudder on a boat,Common,LLM (ministral-3:14b) (LLM Selected Sense #2)
i60267,tilt-top table,noun,a pedestal table whose top is hinged so that it can be tilted to a vertical position,Common,LLM (ministral-3:14b)
i115651,timber,noun,the wood of trees cut and prepared for use as building material,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60273,time bomb,noun,a bomb that has a detonating mechanism that can be set to go off at a particular time,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i60274,time capsule,noun,container for preserving historical records to be discovered at some future time,Common,LLM (ministral-3:14b)
i70638,timecard,noun,a card recording an employee's starting and quitting times each work day,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60276,time clock,noun,clock used to record the hours that people work,Common,LLM (ministral-3:14b)
i60280,time machine,noun,a science fiction machine that is supposed to transport people or objects into the past or the future,Common,LLM (ministral-3:14b)
i60281,timepiece,noun,a measuring instrument or device for keeping time,Common,LLM (ministral-3:14b)
i60282,timer,noun,a timepiece that measures a time interval and signals its end,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i51441,tin,noun,metal container for storing dry foods such as tea or flour,Common,LLM (ministral-3:14b) (LLM Selected Sense #2)
i51426,tin can,noun,airtight sealed metal container for food or drink or paint etc.,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i60290,tinderbox,noun,a box for holding tinder,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i60292,tinfoil,noun,foil made of tin or an alloy of tin and lead,Common,LLM (ministral-3:14b)
i60294,tinsel,noun,a thread with glittering metal foil attached,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i22148,tire,verb,exhaust or get tired through overuse or great strain or stress,Core,LLM (ministral-3:14b) (LLM Selected Sense #2)
i60300,tire chain,noun,chain attached to wheels to increase traction on ice or snow,Common,LLM (ministral-3:14b)
i60301,tire iron,noun,hand tool consisting of a lever that is used to force the casing of a pneumatic tire onto a steel wheel,Common,LLM (ministral-3:14b)
i60308,tnt,noun,explosive consisting of a yellow crystalline compound that is a flammable toxic derivative of toluene,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60309,toaster,noun,a kitchen appliance (usually electric) for toasting bread,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i60310,toaster oven,noun,kitchen appliance consisting of a small electric oven for toasting or warming food,Common,LLM (ministral-3:14b)
i60316,toboggan,noun,a long narrow sled without runners; boards curve upward in front,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i66223,toe,noun,one of the digits of the foot,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60323,toe box,noun,the forward tip of the upper of a shoe or boot that provides space and protection for the toes,Common,LLM (ministral-3:14b)
i60324,toecap,noun,"a protective leather or steel cover for the toe of a boot or shoe, reinforcing or decorating it",Common,LLM (ministral-3:14b)
i60325,toehold,noun,a small foothold used in climbing,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i60331,toggle,noun,a hinged switch that can assume either of two positions,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i60331,toggle switch,noun,a hinged switch that can assume either of two positions,Common,LLM (ministral-3:14b)
i60332,togs,noun,informal terms for clothing,Common,LLM (ministral-3:14b)
i60334,toilet,noun,a plumbing fixture for defecation and urination,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i60335,toilet bag,noun,a waterproof bag for holding bathrooms items (soap and toothpaste etc.) when you are travelling,Common,LLM (ministral-3:14b)
i60336,toilet bowl,noun,the bowl of a toilet that can be flushed with water,Common,LLM (ministral-3:14b)
i60337,toilet kit,noun,a kit for carrying toilet articles while traveling,Common,LLM (ministral-3:14b)
i60338,toilet powder,noun,a fine powder for spreading on the body (as after bathing),Common,LLM (ministral-3:14b)
i60339,toiletry,noun,artifacts used in making your toilet (washing and taking care of your body),Common,LLM (ministral-3:14b)
synset-oewn-04455013-n,gel,noun,jellylike substance used in hair styling,Common,LLM (ministral-3:14b) (LLM Selected Sense #19)
i60340,toilet seat,noun,the hinged seat on a toilet,Common,LLM (ministral-3:14b)
i60341,toilet soap,noun,soap used as a toiletry,Common,LLM (ministral-3:14b)
i60342,toilet water,noun,a perfumed liquid lighter than cologne,Common,LLM (ministral-3:14b)
i60349,tollbooth,noun,a booth at a tollgate where the toll collector collects tolls,Common,LLM (ministral-3:14b)
i60350,toll bridge,noun,a bridge where toll is charged for crossing,Common,LLM (ministral-3:14b)
i60351,tollgate,noun,a gate or bar across a toll bridge or toll road which is lifted when the toll is paid,Common,LLM (ministral-3:14b)
i60354,tomahawk,noun,weapon consisting of a fighting ax; used by North American Indians,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i116413,toner,noun,a black or colored powder used in a printer to develop a xerographic image,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i60359,tongs,noun,any of various devices for taking hold of objects; usually have two hinged legs with handles above and pointed hooks below,Common,LLM (ministral-3:14b)
i60362,tongue depressor,noun,a thin depressor used to press the tongue down during an examination of the mouth and throat,Common,LLM (ministral-3:14b)
i36325,tool,noun,the means whereby some act is accomplished,Core,LLM (ministral-3:14b) (LLM Selected Sense #1)
i60366,tool bag,noun,a bag in which tools are carried,Common,LLM (ministral-3:14b)
i60367,toolbox,noun,a box or chest or cabinet for holding hand tools,Common,LLM (ministral-3:14b)
i60368,toolshed,noun,a shed for storing tools,Common,LLM (ministral-3:14b)
i64724,tooth,noun,hard bonelike structures in the jaws of vertebrates; used for biting and chewing or for attack and defense,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60371,toothbrush,noun,small brush; has long handle; used to clean teeth,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60372,toothpaste,noun,a dentifrice in the form of a paste,Common,LLM (ministral-3:14b)
i60373,toothpick,noun,pick consisting of a small strip of wood or plastic; used to pick food from between the teeth,Common,LLM (ministral-3:14b)
i60385,top of the line,noun,the best (most expensive) in a given line of merchandise,Common,LLM (ministral-3:14b)
i88543,topper,noun,the person who is most outstanding or excellent; someone who tops all others,Common,LLM (ministral-3:14b) (LLM Selected Sense #2)
i60389,toque,noun,a tall white hat with a pouched crown; worn by chefs,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60390,torch,noun,a light usually carried in the hand; consists of some flammable substance,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60392,torpedo,noun,armament consisting of a long cylindrical self-propelled underwater projectile that detonates on contact with a target,Common,LLM (ministral-3:14b) (LLM Selected Sense #5)
i60404,totem,noun,emblem consisting of an object such as an animal or plant; serves as the symbol of a family or clan (especially among American Indians),Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i60405,totem pole,noun,a tribal emblem consisting of a pillar carved and painted with totemic figures; erected by Indian tribes of the northwest Pacific coast,Common,LLM (ministral-3:14b)
i60406,touch screen,noun,a computer display that enables the user to interact with the computer by touching areas on the screen,Common,LLM (ministral-3:14b)
i60409,tourist class,noun,inexpensive accommodations on a ship or train,Common,LLM (ministral-3:14b)
i60410,towel,noun,a rectangular piece of absorbent cloth (or paper) for drying or wiping,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60411,toweling,noun,any of various fabrics (linen or cotton) used to make towels,Common,LLM (ministral-3:14b)
i60412,towel rack,noun,a rack consisting of one or more bars on which towels can be hung,Common,LLM (ministral-3:14b)
i60415,tower,noun,a structure taller than its diameter; can stand alone or be attached to a larger building,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60420,town hall,noun,a government building that houses administrative offices of a town government,Common,LLM (ministral-3:14b)
i60422,tow truck,noun,a truck equipped to hoist and pull wrecked cars (or to remove cars from no-parking zones),Common,LLM (ministral-3:14b)
i57444,toy,noun,an artifact designed to be played with,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60424,toy box,noun,chest for storage of toys,Common,LLM (ministral-3:14b)
i60426,toyshop,noun,shop where toys are sold,Common,LLM (ministral-3:14b)
i60427,toy soldier,noun,a doll that resembles a soldier,Common,LLM (ministral-3:14b)
i71410,trace,noun,a visible mark (as a footprint) left by the passage of person or animal or vehicle,Core,LLM (ministral-3:14b) (LLM Selected Sense #5)
i40334,tracing,noun,the act of drawing a plan or diagram or outline,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i85949,track,noun,a line or route along which something travels or moves,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60446,tractor,noun,a wheeled vehicle with large wheels; used in farming and other applications,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60448,trading card,noun,a card with a picture on it; collected and traded by children,Common,LLM (ministral-3:14b)
i60449,traffic circle,noun,a road junction at which traffic streams circularly around a central island,Common,LLM (ministral-3:14b)
i60450,traffic island,noun,a curbed area in a roadway from which traffic is excluded; provides safe area for pedestrians,Common,LLM (ministral-3:14b)
i60451,traffic lane,noun,a lane of a main road that is defined by painted lines,Common,LLM (ministral-3:14b)
i60452,trail,noun,a path or track roughly blazed through wild or hilly country,Core,LLM (ministral-3:14b) (LLM Selected Sense #1)
i60453,trail bike,noun,a lightweight motorcycle equipped with rugged tires and suspension; an off-road motorcycle designed for riding cross country or over unpaved ground,Common,LLM (ministral-3:14b)
i60454,trailer,noun,a wheeled vehicle that can be pulled by a car or truck and is equipped for occupancy,Common,LLM (ministral-3:14b) (LLM Selected Sense #3)
i60457,trailer truck,noun,a truck consisting of a tractor and trailer together,Common,LLM (ministral-3:14b)
i60459,train,noun,public transport provided by a line of railway cars coupled together and drawn by a locomotive,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60461,train set,noun,a toy consisting of small models of railroad trains and the track for them to run on,Common,LLM (ministral-3:14b)
i59673,tramcar,noun,a wheeled vehicle that runs on rails and is propelled by electricity,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i60467,trampoline,noun,gymnastic apparatus consisting of a strong canvas sheet attached with springs to a metal frame; used for tumbling,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i69849,transcription,noun,"something written, especially copied from one medium to another, as a typewritten version of dictation",Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i36043,transmission,noun,the act of sending a message; causing a message to be transmitted,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60486,transportation system,noun,a facility consisting of the means and equipment necessary for the movement of passengers or goods,Common,LLM (ministral-3:14b)
i52320,transporter,noun,a moving belt that transports objects (as in a factory),Common,LLM (ministral-3:14b) (LLM Selected Sense #2)
i60489,transport ship,noun,a ship for carrying soldiers or military equipment,Common,LLM (ministral-3:14b)
i60491,trap,noun,a device in which something (usually an animal) can be caught and penned,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60496,trap door,noun,a hinged or sliding door in a floor or ceiling,Common,LLM (ministral-3:14b)
i60497,trapeze,noun,a swing used by circus acrobats,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i27337,trawl,verb,fish with trawlers,Common,LLM (ministral-3:14b) (LLM Selected Sense #2)
i60502,trawler,noun,a fishing boat that uses a trawl net or dragnet to catch fish,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i60503,tray,noun,an open receptacle for holding or displaying or serving articles or food,Common,LLM (ministral-3:14b)
i60504,tray cloth,noun,table linen consisting of a small cloth for a tray,Common,LLM (ministral-3:14b)
i32209,tread,verb,"put down or press the foot, place the foot",Common,LLM (ministral-3:14b) (LLM Selected Sense #4)
i60510,treadmill,noun,an exercise device consisting of an endless belt on which a person can walk or jog without changing place,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60511,treasure chest,noun,a chest filled with valuables,Common,LLM (ministral-3:14b)
i60512,treasure house,noun,a storehouse for treasures,Common,LLM (ministral-3:14b)
i60513,treasure ship,noun,a 16th-century ship loaded with treasure,Common,LLM (ministral-3:14b)
i60514,treasury,noun,a depository (a room or building) where wealth and precious objects can be kept safely,Common,LLM (ministral-3:14b) (LLM Selected Sense #5)
i60515,tree house,noun,a playhouse built in the branches of a tree,Common,LLM (ministral-3:14b)
i60519,trellis,noun,latticework used to support climbing plants,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60521,trench,noun,any long ditch cut in the ground,Common,LLM (ministral-3:14b) (LLM Selected Sense #2)
i60522,trench coat,noun,a military style raincoat; belted with deep pockets,Common,LLM (ministral-3:14b)
i60527,trestle,noun,sawhorses used in pairs to support a horizontal tabletop,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i60529,trestle bridge,noun,a bridge supported by trestlework,Common,LLM (ministral-3:14b)
i60530,trestle table,noun,a table supported on trestles,Common,LLM (ministral-3:14b)
i67368,trial balloon,noun,a test of public opinion,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i93774,tribune,noun,(ancient Rome) an official elected by the plebeians to protect their interests,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i2275,tricolor,adjective,having or involving three colors,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i60547,tricycle,noun,a vehicle with three wheels that is moved by foot pedals,Common,LLM (ministral-3:14b)
i60549,trident,noun,a spear with three prongs,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60550,trigger,noun,a device that activates or releases or causes something to happen,Core,LLM (ministral-3:14b) (LLM Selected Sense #1)
i13410,trimmer,adjective,neat and smart in appearance,Common,LLM (ministral-3:14b) (LLM Selected Sense #6)
i37302,trimming,noun,cutting down to the desired size or shape,Common,LLM (ministral-3:14b) (LLM Selected Sense #2)
i30416,triplicate,verb,reproduce threefold,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i60563,tripod,noun,a three-legged rack used for support,Common,LLM (ministral-3:14b)
i60566,trip wire,noun,a wire stretched close to the ground that activates something (a trap or camera or weapon) when tripped over,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i60569,triumphal arch,noun,a monumental archway; usually they are built to commemorate some notable victory,Common,LLM (ministral-3:14b)
i60570,trivet,noun,a stand with short feet used under a hot dish on a table,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i60572,triviality,noun,something of small importance,Common,LLM (ministral-3:14b) (LLM Selected Sense #2)
i71065,trojan horse,noun,a program that appears desirable but actually contains something harmful,Common,LLM (ministral-3:14b) (LLM Selected Sense #2)
i60576,trolleybus,noun,a passenger bus with an electric motor that draws power from overhead wires,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60577,trolley line,noun,a transit line using streetcars or trolley buses,Common,LLM (ministral-3:14b)
i60578,trombone,noun,a brass instrument consisting of a long tube whose length can be varied by a U-shaped slide,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60580,troop carrier,noun,any land or sea or air vehicle designed to carry troops,Common,LLM (ministral-3:14b)
i60581,troopship,noun,ship for transporting troops,Common,LLM (ministral-3:14b)
i60582,trophy,noun,something given as a token of victory,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i60583,trophy case,noun,a case in which to display trophies,Common,LLM (ministral-3:14b)
i55985,trough,noun,a container (usually in a barn or stable) from which cattle or horses feed,Common,LLM (ministral-3:14b) (LLM Selected Sense #5)
i60589,trouser,unknown,"(usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately",Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60589,trousers,noun,"(usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately",Common,LLM (ministral-3:14b)
i60591,trowel,noun,a small hand tool with a handle and flat metal blade; used for scooping or spreading plaster or similar materials,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60592,truck,noun,an automotive vehicle suitable for hauling,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60593,truck bed,noun,the floor or bottom of a wagon or truck or trailer,Common,LLM (ministral-3:14b)
i60595,truck stop,noun,a roadside service station (and restaurant) that caters to truck drivers,Common,LLM (ministral-3:14b)
i27143,trump,verb,get the better of,Common,LLM (ministral-3:14b) (LLM Selected Sense #4)
i60602,trunk,noun,luggage consisting of a large strong case used when traveling or for storage,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i50564,tub,noun,a relatively large open container that you fill with water and use to wash the body,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60614,tube,noun,conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i28663,tuck,verb,fit snugly into,Common,LLM (ministral-3:14b) (LLM Selected Sense #4)
i60624,tugboat,noun,a powerful small boat designed to pull or push larger ships,Common,LLM (ministral-3:14b)
i60628,tulip bed,noun,a flowerbed in which tulips are growing,Common,LLM (ministral-3:14b)
i60630,tumble-dryer,noun,a clothes dryer that spins wet clothes inside a cylinder with heated air,Common,LLM (ministral-3:14b)
i60631,tumbler,noun,a glass with a flat bottom but no handle or stem; originally had a round bottom,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i60635,tunic,noun,any of a variety of loose fitting cloaks extending to the hips or knees,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i60637,tunnel,noun,"a passageway through or under something, usually underground (especially one for trains or cars)",Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60639,turban,noun,a traditional Muslim headdress consisting of a long scarf wrapped around the head,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i80692,university,noun,a large and diverse institution of higher learning created to educate for life and for a profession and to grant degrees,Core,Auto-Flagged Negative Prefix (LLM Selected Sense #2)
i36754,turkish bath,noun,you sweat in a steam room before getting a rubdown and cold shower,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i60645,turkish towel,noun,a bath towel with rough loose pile,Common,LLM (ministral-3:14b)
i37232,turnaround,noun,turning in the opposite direction,Common,LLM (ministral-3:14b) (LLM Selected Sense #4)
i60649,turner,noun,cooking utensil having a flat flexible part and a long handle; used for turning or serving food,Common,LLM (ministral-3:14b) (LLM Selected Sense #7)
i37251,turning,noun,the act of changing or reversing the direction of the course,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60654,turnoff,noun,a side road where you can turn off,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i79257,turnout,noun,the group that gathers together for a particular occasion,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60656,turnpike,noun,an expressway on which tolls are collected,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i60659,turnstile,noun,a gate consisting of a post that acts as a pivot for rotating arms; set in a passageway for controlling the persons entering,Common,LLM (ministral-3:14b)
i60660,turntable,noun,a circular horizontal platform that rotates a phonograph record while it is being played,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60665,turtleneck,noun,a sweater or jersey with a high close-fitting collar,Common,LLM (ministral-3:14b)
i60666,turtleneck collar,noun,a high close-fitting turnover collar,Common,LLM (ministral-3:14b)
i60667,tweed,noun,thick woolen fabric used for clothing; originated in Scotland,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60668,tweeter,noun,a loudspeaker that reproduces higher audio frequency sounds,Common,LLM (ministral-3:14b)
i60670,twenty-two pistol,noun,a .22-caliber pistol,Common,LLM (ministral-3:14b)
i60671,twenty-two rifle,noun,a .22-caliber rifle,Common,LLM (ministral-3:14b)
i60672,twill,noun,a cloth with parallel diagonal lines or ribs,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i60674,twin bed,noun,one of a pair of identical beds,Common,LLM (ministral-3:14b)
i60677,two-by-four,noun,a timber measuring (slightly under) 2 inches by 4 inches in cross section,Common,LLM (ministral-3:14b)
i60679,two-man tent,noun,a tent designed for occupancy by two persons,Common,LLM (ministral-3:14b)
i60681,two-way street,noun,a street on which vehicular traffic can move in either of two directions,Common,LLM (ministral-3:14b)
i72360,type,noun,printed characters,Core,LLM (ministral-3:14b) (LLM Selected Sense #3)
i60685,typewriter,noun,hand-operated character printer for printing written messages one character at a time,Common,LLM (ministral-3:14b)
i60692,uke,noun,a small guitar having four strings,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60693,ulster,noun,loose long overcoat of heavy fabric; usually belted,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i60696,ultrasuede,noun,a synthetic suede cloth,Common,LLM (ministral-3:14b)
i60697,ultraviolet lamp,noun,any source of illumination that emits ultraviolet radiation,Common,LLM (ministral-3:14b)
i60699,umbrella tent,noun,a small tent with a single supporting pole and radiating metal ribs,Common,LLM (ministral-3:14b)
i22755,upgrade,verb,to improve what was old or outdated,Common,LLM (ministral-3:14b) (LLM Selected Sense #7)
i60739,upper berth,noun,the higher of two berths,Common,LLM (ministral-3:14b)
i60740,upper deck,noun,a higher deck,Common,LLM (ministral-3:14b)
i60748,urinal,noun,a plumbing fixture (usually attached to the wall) used by men to urinate,Common,LLM (ministral-3:14b)
i60749,urn,noun,a large vase that usually has a pedestal or feet,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60751,used-car,noun,a car that has been previously owned; not a new car,Common,LLM (ministral-3:14b)
i60753,utensil,noun,an implement for practical use (especially in a household),Common,LLM (ministral-3:14b)
i60756,vacation home,noun,a dwelling (a second home) where you live while you are on vacation,Common,LLM (ministral-3:14b)
i60757,vaccine,noun,immunogen consisting of a suspension of weakened or dead pathogenic cells injected in order to stimulate the production of antibodies,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60758,vacuum,noun,an electrical home appliance that cleans by suction,Common,LLM (ministral-3:14b) (LLM Selected Sense #3)
i60764,valise,noun,a small overnight bag for short trips,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60767,valve,noun,control consisting of a mechanical device for controlling the flow of a fluid,Common,LLM (ministral-3:14b) (LLM Selected Sense #2)
i60772,van,noun,a truck with an enclosed cargo space,Core,LLM (ministral-3:14b) (LLM Selected Sense #4)
i67567,variation,noun,something a little different from others of the same type,Core,LLM (ministral-3:14b) (LLM Selected Sense #3)
i60783,varnish,noun,"a coating that provides a hard, lustrous, transparent finish to a surface",Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60784,vase,noun,an open jar of glass or porcelain used as an ornament or to hold flowers,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60785,vaseline,noun,a trademarked brand of petroleum jelly,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i36038,vault,noun,the act of jumping over an obstacle,Common,LLM (ministral-3:14b) (LLM Selected Sense #3)
i60795,vehicle,noun,a conveyance that transports people or objects,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60796,velcro,noun,nylon fabric used as a fastening,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60802,vending machine,noun,a slot machine for selling goods,Common,LLM (ministral-3:14b)
i60804,venetian blind,noun,a window blind made of horizontal strips that overlap when closed,Common,LLM (ministral-3:14b)
i60808,vent,noun,a hole for the escape of gas or air,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i36798,ventilation,noun,the act of supplying fresh air and getting rid of foul air,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60812,ventilator,noun,a device (such as a fan) that introduces fresh air or expels foul air,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60816,veranda,noun,a porch along the outside of a building (sometimes partly enclosed),Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i63921,verge,noun,the limit beyond which something happens or changes,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i60834,vessel,noun,an object used as a container (especially for liquids),Core,LLM (ministral-3:14b) (LLM Selected Sense #2)
i60835,vest,noun,a man's sleeveless garment worn underneath a coat,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60838,vest pocket,noun,a small pocket in a man's vest,Common,LLM (ministral-3:14b)
i60840,viaduct,noun,bridge consisting of a series of arches supported by piers used to carry a road (or railroad) over a valley,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60843,vibrator,noun,a mechanical device that vibrates,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60847,videocassette,noun,a cassette for videotape,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60848,videocassette recorder,noun,a magnetic tape recorder for recording (and playing back) TV programs,Common,LLM (ministral-3:14b)
i60849,videodisk,noun,a digital recording (as of a movie) on an optical disk that can be played on a computer or a television set,Common,LLM (ministral-3:14b)
i60850,video recording,noun,a recording of both the visual and audible components (especially one containing a recording of a movie or television program),Common,LLM (ministral-3:14b)
i93189,viewer,noun,a close observer; someone who looks at something (such as an exhibition of some kind),Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60860,villa,noun,detached or semidetached suburban house,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i60863,vineyard,noun,a farm of grapevines where wine grapes are produced,Common,LLM (ministral-3:14b)
i60865,viola,noun,"a bowed stringed instrument slightly larger than a violin, tuned a fifth lower",Common,LLM (ministral-3:14b) (LLM Selected Sense #2)
i60869,violin,noun,bowed stringed instrument that is the highest member of the violin family; this instrument has four strings and a hollow body and an unfretted fingerboard and is played with a bow,Common,LLM (ministral-3:14b)
i60877,vise,noun,a holding device attached to a workbench; has two jaws to hold workpiece firmly in place,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i50762,visor,noun,a brim that projects to the front to shade the eyes,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i60883,v neck,noun,the neck of a garment has the shape in front of the letter V,Common,LLM (ministral-3:14b)
i60885,voile,noun,a light semitransparent fabric,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i37912,volleyball,noun,a game in which two teams hit an inflated ball over a high net using their hands,Common,LLM (ministral-3:14b) (LLM Selected Sense #0)
i60888,volleyball court,noun,the court on which volleyball is played,Common,LLM (ministral-3:14b)
i60889,volleyball net,noun,the high net that separates the two teams and over which the volleyball must pass,Common,LLM (ministral-3:14b)
i60898,voting booth,noun,a booth in which a person can cast a private vote,Common,LLM (ministral-3:14b)
i60899,voting machine,noun,a mechanical device for recording and counting votes mechanically,Common,LLM (ministral-3:14b)
i60904,waders,noun,waterproof hip boots (sometimes extending to the chest) worn by anglers,Common,LLM (ministral-3:14b)
i60905,wading pool,noun,a shallow pool for children,Common,LLM (ministral-3:14b)
i60906,waffle iron,noun,a kitchen appliance for baking waffles; the appliance usually consists of two indented metal pans hinged together so that they create a pattern on the waffle,Common,LLM (ministral-3:14b)
i60907,wagon,noun,any of various kinds of wheeled vehicles drawn by an animal or a tractor,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i60909,wagon tire,noun,a metal hoop forming the tread of a wheel,Common,LLM (ministral-3:14b)
i60910,wagon wheel,noun,a wheel of a wagon,Common,LLM (ministral-3:14b)
i60915,waist pack,noun,a small pouch (usually with a zipper) that attaches to a belt and is worn around the waist,Common,LLM (ministral-3:14b)
i60916,wake board,noun,a buoyant board (resembling a surfboard) that is used to ride over water while being pulled behind a motorboat,Common,LLM (ministral-3:14b)
i36884,walk,noun,the act of traveling by foot,Core,LLM (ministral-3:14b) (LLM Selected Sense #0)
i91931,walker,noun,a person who travels by foot,Common,LLM (ministral-3:14b) (LLM Selected Sense #1)
i60922,walkie-talkie,noun,small portable radio link (receiver and transmitter),Common,LLM (ministral-3:14b)
i60924,walking shoe,noun,a light comfortable shoe designed for vigorous walking,Common,LLM (ministral-3:14b)
